


















SORCERY_START,,LOCALIZATION,,START,,,,,
perkSorceryLightningMasteryDesc,progression,Perk,New,"Train to become a [5c009d]MASTER LIGHTNING SORCERER[-]. Zap down the electrifying path of [5c009d]LIGHTNING SORCERY[-] to invoke and wield its shocking secrets. Embrace this destructive force of nature to shock and awe your foes to an eternal grave. [5c009d]LIGHTNING SORCERERS[-] learn the secrets to awakening and harvesting even the most dormant of [5c009d]LIGHTNING ESSENCE[-], fueling the creation of their devastating [5c009d]LIGHTNING SPELLS[-].",,,,,
perkSorceryLightningMasteryName,progression,Perk,New,"[5c009d]LIGHTNING MASTERY[-]",,,,,
perkSorceryLightningMasteryRank1Desc,progression,Perk,New,"Take your first steps to becoming a LIGHTNING SORCERER by learning [5c009d]TIER 1[-] LIGHTNING SPELLCRAFTING, [5c009d]LIGHTNING CONJURE[-] crafting and unlocking [5c009d]LIGHTNING SPELLCAST[-].",,,,,
perkSorceryLightningMasteryRank2Desc,progression,Perk,New,"Learn [5c009d]TIER 2[-] Lightning Spellcrafting. You can now [5c009d]ALTER[-] LIGHTNING SPELLS. You cast Lightning Spells [5c009d]10%[-] faster. Awaken [42c234]LIGHTNING 2[-] ESSENCE with a chance to harvest. You have learned how to craft a [5c009d]LIGHTNING CORE[-].",,,,,
perkSorceryLightningMasteryRank3Desc,progression,Perk,New,"Learn [5c009d]TIER 3[-] Lightning Spellcrafting. You can now make [5c009d]TWO[-] ALTERATIONS to LIGHTNING SPELLS. You cast Lightning Spells [5c009d]15%[-] faster.\nAwaken [315dce]LIGHTNING 3[-] ESSENCE with a chance to harvest.",,,,,
perkSorceryLightningMasteryRank4Desc,progression,Perk,New,"Learn [5c009d]TIER 4[-] Lightning Spellcrafting. You can now make [5c009d]THREE[-] ALTERATIONS to LIGHTNING SPELLS. You cast Lightning Spells [5c009d]20%[-] faster.\nAwaken [a42acc]LIGHTNING 4[-] ESSENCE with a chance to harvest.",,,,,
perkSorceryLightningMasteryRank5Desc,progression,Perk,New,"You are now a [5c009d]MASTER LIGHTNING SORCERER[-] and have unlocked [5c009d]TIER 5[-] Lightning Spellcrafting along with the ability to make [5c009d]FOUR[-] ALTERATIONS to LIGHTNING SPELLS. You cast Lightning Spells [5c009d]25%[-] faster and can now perform [5c009d]LIGHTNING RITUALS[-].\nAwaken [bf0000]LIGHTNING 5[-] ESSENCE with a chance to harvest.",,,,,

perkSorceryRuneMasteryDesc,progression,Perk,New,"Unravel the secrets of runes to invoke and harness their transcendent power. Affixing Runes to Armor and Spellcasts is extremely powerful but cannot be performed by the mundane. Mastering Runes teaches you how to decipher the very runewords themselves, tremendously reducing the burden of harnessing their power.",,,,,
perkSorceryRuneMasteryName,progression,Perk,New,"Rune Mastery",,,,,
perkSorceryRuneMasteryRank1Desc,progression,Perk,New,"Take your first steps to harnessing the Transcendent power of Runes, Spirit Burden Free, by deciphering the very Runewords themselves.\nReduce the Spirit Burden of affixed Runes by 20%.",,,,,
perkSorceryRuneMasteryRank2Desc,progression,Perk,New,"Reduce the Spirit Burden of affixed Runes by 40%.\nYou can now craft a [Hammer] Augment at a [Conjure].",,,,,
perkSorceryRuneMasteryRank3Desc,progression,Perk,New,"Reduce the Spirit Burden of affixed Runes by 60%.\nYou can now craft [42c234]RARE[-] Runes at a [Conjure].",,,,,
perkSorceryRuneMasteryRank4Desc,progression,Perk,New,"Reduce the Spirit Burden of affixed Runes by 80%.\nYou can now craft [315dce]EPIC[-] Runes at a [Conjure].",,,,,
perkSorceryRuneMasteryRank5Desc,progression,Perk,New,"You are now a Master of Runes and have learned how to craft [a42acc]LEGENDARY[-] Runes at a Conjure.\nReduce the Spirit Burden of affixed Runes by 90%.",,,,,

perkSorceryEssenceMasteryDesc,progression,Perk,New,"Master Essence to demystify and awaken the elemental essence in the very earth around you. Long since dormant, essence is required to craft spells and to perform major sorceries. With the apocalyptic outbreak, it's time to awaken essence and level the playing field.",,,,,
perkSorceryEssenceMasteryName,progression,Perk,New,"Essence Mastery",,,,,
perkSorceryEssenceMasteryRank1Desc,progression,Perk,New,"Awaken [970000]FIRE ESSENCE[-] within Trees, Boulders, Coal and Oil.\nYou now sense and have a chance to harvest [970000]FIRE ESSENCE[-].",,,,,
perkSorceryEssenceMasteryRank2Desc,progression,Perk,New,"Awaken [02599c]ICE ESSENCE[-] within Trees, Boulders and Potassium Nitrate.\nYou now sense and have a chance to harvest [02599c]ICE ESSENCE[-].\nYou now harvest [DOUBLE] the amount of all essence types.",,,,,
perkSorceryEssenceMasteryRank3Desc,progression,Perk,New,"Awaken [5c009d]LIGHTNING ESSENCE[-] within Trees, Boulders and Lead.\nYou now sense and have a chance to harvest [5c009d]LIGHTNING ESSENCE[-].\nYou now harvest [TRIPLE] the amount of all essence types.",,,,,
perkSorceryEssenceMasteryRank4Desc,progression,Perk,New,"Your mastery over essence gives you the ability to sense and extract even the most dormant of essence.\nYou now harvest [QUADRUPLE] the amount of all essence types.",,,,,
perkSorceryEssenceMasteryRank5Desc,progression,Perk,New,"You are now an Essence Master and can perform transmutation rituals. These rituals transmute nature into its raw form and require mastery of their element.",,,,,


perkSorcerySpellcastFireDesc,progression,Perk,New,"Master [970000]FIRE SPELLCAST[-] to invoke and cast your spells with maximum fiery devastation and effect. [970000]FIRE SPELLCASTS[-] posses the power of cauterization and speed and are required to cast [970000]FIRE SPELLS[-].\n\nSPELLCAST: Hold [42c234]PRIMARY[-] Action Button\nCHANNEL: Hold [315dce]SECONDARY[-] Action Button",,,,,
perkSorcerySpellcastFireName,progression,Perk,New,"[970000]FIRE SPELLCAST[-]",,,,,
perkSorcerySpellcastFireRank1Desc,progression,Perk,New,"Learn the secrets to crafting a [970000]FIRE SPELLCAST[-].\nA Fire Spellcast is used to cast and augment [970000]FIRE SPELLS[-].",,,,,
perkSorcerySpellcastFireRank2Desc,progression,Perk,New,"[970000]CAUTERIZE[-]: Cauterize your wounds on spellcasting.\nThis is a [42c234]PRIMARY[-] Action ability.",,,,,
perkSorcerySpellcastFireRank3Desc,progression,Perk,New,"[970000]BLAZING[-]: Move at blazing speeds while channeling.\nThis is a [315dce]SECONDARY[-] Action ability.",,,,,
perkSorcerySpellcastFireRank4Desc,progression,Perk,New,"[970000]FIRE FLIGHT[-]: Fire flight through the air on jumping while channeling. Fire flight slows your fall speed before impact.\nThis is a [a42acc]PASSIVE[-] and [315dce]SECONDARY[-] Action ability.",,,,,
perkSorcerySpellcastFireRank5Desc,progression,Perk,New,"You are now a [970000]Master of Fire Spellcasts[-].\n[a42acc]EMPOWER[-]: Burning stacks from Fire Spells now empower you.\n[bf0000]METEOR LAND[-]: Crash down like a meteor when landing a Fire Flight.",,,,,

perkSorcerySpellFireballDesc,progression,Perk,New,"Master the [970000]FIRE SPELL[-] to transform it from an effective primal flame into an explosive molten rock that'll incinerate your foes into early retirement. This Spell is excellent at Charging [970000]Fire Stacks[-] and should be used to maximize the damage and effects of all [970000]Fire Spells[-].\n\n[970000]STACK CHARGE[-]: Hold [42c234]PRIMARY[-] Action Button\n\nRequires: [970000]FIRE MASTERY[-] Level 1.",,,,,
perkSorcerySpellFireballName,progression,Perk,New,"SPELL: [970000]FIRE[-]",,,,,
perkSorcerySpellFireballRank1Desc,progression,Perk,New,"Learn the primal [970000]FIRE SPELL[-] to incinerate the flesh off your foes and ignite them into an eternal grave... or pile of ash.",,,,,
perkSorcerySpellFireballRank2Desc,progression,Perk,New,"[970000]INCINERATE[-]: Victims with one or more [970000]Fire Stacks[-] have a chance to incinerate in even deadlier flame.",,,,,
perkSorcerySpellFireballRank3Desc,progression,Perk,New,"[970000]EXPLOSIVE[-]: Fire becomes explosive incinerating and knocking down victims engulfed in four or more [970000]Fire Stacks[-].",,,,,
perkSorcerySpellFireballRank4Desc,progression,Perk,New,"[970000]WILDFIRE[-]: Victims with [970000]Fire Stacks[-] can engulf nearby foes in flame while amplifying the deadliness of their own.",,,,,
perkSorcerySpellFireballRank5Desc,progression,Perk,New,"[970000]Fully Evolve[-] Fire into a deadly molten flame. [970000]Fire Stacks[-] no longer expire on your victims but instead greatly increase destructive force.",,,,,

perkSorcerySpellFirestormDesc,progression,Perk,New,"Master the [970000]FIRENADO SPELL[-] to transform it from a whirling inferno of destruction into a zombie locking death sentence. This Spell can Charge a single [970000]Fire Stack[-] and becomes deadlier with each [970000]Fire Stack[-] present on your victim.\n\n[970000]STACK CHARGE[-]: Hold [42c234]PRIMARY[-] Action Button\n\nRequires: [970000]FIRE MASTERY[-] Level 2.",,,,,
perkSorcerySpellFirestormName,progression,Perk,New,"SPELL: [970000]FIRENADO[-]",,,,,
perkSorcerySpellFirestormRank1Desc,progression,Perk,New,"Learn the devastating [970000]FIRENADO SPELL[-] to incinerate your enemies first class in a whirling inferno of destruction.",,,,,
perkSorcerySpellFirestormRank2Desc,progression,Perk,New,"[970000]ENGULF[-]: Firenado occasionally engulfs nearby enemies in flame if they have one or more [970000]Fire Stacks[-].",,,,,
perkSorcerySpellFirestormRank3Desc,progression,Perk,New,"[970000]UNSTABLE[-]: Firenado becomes unstable consuming victim [970000]Fire Stacks[-] to bolster its destructive force even further.",,,,,
perkSorcerySpellFirestormRank4Desc,progression,Perk,New,"[970000]CLONE[-]: Firenado occasionally spawns a lesser Firenado from victims with one or more [970000]Fire Stacks[-].",,,,,
perkSorcerySpellFirestormRank5Desc,progression,Perk,New,"[970000]Fully Evolve[-] Firenado into a zombie consuming death trap.\nVictims find it near impossible to escape the vortex.\n[970000]Fire Stacks[-] greatly increase destructive force.",,,,, 
 
perkSorcerySpellFireMeteorDesc,progression,Perk,New,"Master the [970000]METEOR SPELL[-] to command the very stars down onto your enemies. You'll learn how to evolve Meteor from a single impact into multiple deadly strikes. This Spell can Charge a single [970000]Fire Stack[-] and becomes deadlier with each [970000]Fire Stack[-] present on your victim.\n\n[970000]STACK CHARGE[-]: Hold [42c234]PRIMARY[-] Action Button\n\nRequires: [970000]FIRE MASTERY[-] Level 3.",,,,,
perkSorcerySpellFireMeteorName,progression,Perk,New,"SPELL: [970000]METEOR[-]",,,,,
perkSorcerySpellFireMeteorRank1Desc,progression,Perk,New,"Learn the devastating [970000]METEOR SPELL[-] obliterate your enemies with molten rocks from the very skies.",,,,,
perkSorcerySpellFireMeteorRank2Desc,progression,Perk,New,"[970000]MOLTEN[-]: Meteor's core is molten severely burning foes with [970000]Stacks[-].",,,,,
perkSorcerySpellFireMeteorRank3Desc,progression,Perk,New,"[970000]CRATER[-]: Meteor's impact becomes even more devastating always knocking down foes with [970000]Stacks[-].",,,,,
perkSorcerySpellFireMeteorRank4Desc,progression,Perk,New,"[970000]SHOWER[-]: Meteor occasionally rains down fiery hell on nearby foes with [970000]Stacks[-].",,,,,
perkSorcerySpellFireMeteorRank5Desc,progression,Perk,New,"[970000]HELLSTORM[-] Evolve Meteor into a molten storm of fiery hell.\n[970000]Fire Stacks[-] greatly increase destructive force.",,,,, 
 

perkSorcerySpellcastIceDesc,progression,Perk,New,"Master [02599c]ICE SPELLCAST[-] to invoke and cast your spells with maximum freezing devastation and effect. [02599c]ICE SPELLCASTS[-] posses the deep freezing power of Time and are required to cast [02599c]ICE SPELLS[-].\n\nSPELLCAST: Hold [42c234]PRIMARY[-] Action Button\nCHANNEL: Hold [315dce]SECONDARY[-] Action Button",,,,,
perkSorcerySpellcastIceName,progression,Perk,New,"[02599c]ICE SPELLCAST[-]",,,,,
perkSorcerySpellcastIceRank1Desc,progression,Perk,New,"Learn the secrets to crafting an [02599c]ICE SPELLCAST[-]. \nAn Ice Spellcast is used to cast and augment [02599c]ICE SPELLS[-].",,,,,
perkSorcerySpellcastIceRank2Desc,progression,Perk,New,"[02599c]METABOLIZE[-]: Slow your metabolism on spellcasting.\nThis is a [42c234]PRIMARY[-] Action ability.",,,,,
perkSorcerySpellcastIceRank3Desc,progression,Perk,New,"[02599c]ICE AURA[-]: Freeze the very air around you while channeling.\nThis is a [315dce]SECONDARY[-] Action ability.",,,,,
perkSorcerySpellcastIceRank4Desc,progression,Perk,New,"[02599c]ICE SHIELD[-]: Shield in Ice on channeling by solidifying moisture in the air around you. You are more resilient and slowly rejuvenate.\nThis is a [a42acc]PASSIVE[-] and [315dce]SECONDARY[-] Action ability.",,,,,
perkSorcerySpellcastIceRank5Desc,progression,Perk,New,"You are now a [02599c]Master of Ice Spellcasts[-].\n[a42acc]EMPOWER[-]: Iceburn stacks from Ice Spells now empower you.\n[bf0000]ICY DEATH[-]: Attackers of Ice Shield endure immense Suffering.",,,,,
 
perkSorcerySpellIceballDesc,progression,Perk,New,"Master the [02599c]ICE SPELL[-] to transform it from an effective primal frost into a freezing Force of Death that'll deep freeze your foes beyond the grave. This Spell is excellent at Charging [02599c]Ice Stacks[-] and should be used to maximize the damage and effects of all [02599c]Ice Spells[-].\n\n[02599c]STACK CHARGE[-]: Hold [42c234]PRIMARY[-] Action Button\n\nRequires: [02599c]Ice Mastery[-] Level 1.",,,,,
perkSorcerySpellIceballName,progression,Perk,New,"SPELL: [02599c]ICE[-]",,,,,
perkSorcerySpellIceballRank1Desc,progression,Perk,New,"Learn the primal [02599c]ICE SPELL[-] to deep freeze your foes in time and space while Iceburning them from the inside out.",,,,,
perkSorcerySpellIceballRank2Desc,progression,Perk,New,"[02599c]SUBZERO[-]: Victims with [02599c]Ice Stacks[-] have a chance to go Subzero Iceburning and crippling them from within.",,,,,
perkSorcerySpellIceballRank3Desc,progression,Perk,New,"[02599c]DEEP FREEZE[-]: Ice has a chance to consume [02599c]Ice Stacks[-] to deep freeze your foes rendering them completely immobile.",,,,,
perkSorcerySpellIceballRank4Desc,progression,Perk,New,"[02599c]SUFFERING[-]: Victims with [02599c]Ice Stacks[-] occasionally endure drastic suffering while spreading their Iceburn to foes.",,,,,
perkSorcerySpellIceballRank5Desc,progression,Perk,New,"[02599c]Fully evolve[-] Ice into a Freezing Force of Timely Death. [02599c]Ice Stacks[-] no longer expire on your victims but instead greatly increase destructive force.",,,,,
 
perkSorcerySpellIceSpikeDesc,progression,Perk,New,"Master the [02599c]ICE SPIKE SPELL[-] to transform it from a bone shattering Ice Shard into a decapitating lethality. This Spell can Charge a single [02599c]Ice Stack[-] and becomes deadlier with each [02599c]Ice Stack[-] present on your victim.\n\n[02599c]STACK CHARGE[-]: Hold [42c234]PRIMARY[-] Action Button\n\nRequires: [02599c]Ice Mastery[-] Level 2.",,,,,
perkSorcerySpellIceSpikeName,progression,Perk,New,"SPELL: [02599c]ICE SPIKE[-]",,,,,
perkSorcerySpellIceSpikeRank1Desc,progression,Perk,New,"Learn the devastating [02599c]ICE SPIKE SPELL[-] to dismember and shatter the bones of your foes.",,,,,
perkSorcerySpellIceSpikeRank2Desc,progression,Perk,New,"[02599c]SHATTER[-]: Ice Spike shatters the bones of your Deep Freeze victims causing severe damage. [02599c]Ice Stacks[-] amplify this.",,,,,
perkSorcerySpellIceSpikeRank3Desc,progression,Perk,New,"[02599c]SUFFER[-]: Ice Spike frequently consumes [02599c]Ice Stacks[-] to induce immense suffering on your foe.",,,,,
perkSorcerySpellIceSpikeRank4Desc,progression,Perk,New,"[02599c]LETHAL[-]: Ice Spike is now deadlier and more likely to Dismember and Decapitate foes with one or more [02599c]Ice Stacks[-].",,,,,
perkSorcerySpellIceSpikeRank5Desc,progression,Perk,New,"[02599c]Fully evolve[-] Ice Spike into a decapitating lethality. [02599c]Ice Stacks[-] greatly increase destructive force. Ice Spike is even more devastating on impact.",,,,, 
 
perkSorcerySpellIcestormDesc,progression,Perk,New,"Master the [02599c]ICE STORM SPELL[-] to summon frozen storms at will to devastate your foes amass. You'll learn how to transform Ice Storm from an Iceburning hail into a category 6 devastation. This Spell can Charge a single [02599c]Ice Stack[-] and becomes deadlier with each [02599c]Ice Stack[-] present on your victim.\n\n[02599c]STACK CHARGE[-]: Hold [42c234]PRIMARY[-] Action Button\n\nRequires: [02599c]Ice Mastery[-] Level 3.",,,,,
perkSorcerySpellIcestormName,progression,Perk,New,"SPELL: [02599c]ICE STORM[-]",,,,,
perkSorcerySpellIcestormRank1Desc,progression,Perk,New,"Learn the catastrophic [02599c]ICE STORM SPELL[-] to command frozen storms capable of Iceburning and freezing your foes amass. ",,,,,
perkSorcerySpellIcestormRank2Desc,progression,Perk,New,"[02599c]SUBZERO[-]: Victims caught in the storm with [02599c]Ice Stacks[-] can go Subzero severely Iceburning and crippling them.",,,,,
perkSorcerySpellIcestormRank3Desc,progression,Perk,New,"[02599c]SUFFER[-]: Ice Storm frequently consumes [02599c]Ice Stacks[-] to induce drastic suffering on foes.",,,,,
perkSorcerySpellIcestormRank4Desc,progression,Perk,New,"[02599c]ICEPOCALYPSE[-]: Ice Storm can Deep Freeze [02599c]Ice Stacked[-] foes while also greatly increasing their Iceburn suffering.",,,,,
perkSorcerySpellIcestormRank5Desc,progression,Perk,New,"[02599c]Fully evolve[-] Ice Storm into a Category 6 Storm. [02599c]Ice Stacks[-] greatly increase destructive force.",,,,,
 

perkSorcerySpellcastLightningDesc,progression,Perk,New,"Master Sorcery to learn the art of invoking the elements and becoming a devastating sorcerer. The rising dead were just the start of aftermath anomalies...",,,,,
perkSorcerySpellcastLightningName,progression,Perk,New,"[5c009d]LIGHTNING SPELLCAST[-]",,,,,
perkSorcerySpellcastLightningRank1Desc,progression,Perk,New,"Learn the secrets to crafting a [5c009d]LIGHTNING SPELLCAST[-]. \nA Lightning Spellcast is used to cast [5c009d]LIGHTNING SPELLS[-].",,,,,
perkSorcerySpellcastLightningRank2Desc,progression,Perk,New,"[5c009d]LIGHTNING STRIKE[-]: You occasionally command Lightning Bolts from the sky to assault your foes on Spellcasting.\nThis is a [42c234]PRIMARY[-] Action ability.",,,,,
perkSorcerySpellcastLightningRank3Desc,progression,Perk,New,"[5c009d]TELEPORT[-]: Electrify the air to open a rift and instantaneously travel through to the other side.\nThis is a [315dce]SECONDARY[-] Action ability.",,,,,
perkSorcerySpellcastLightningRank4Desc,progression,Perk,New,"[5c009d]ENERGY SHIELD[-]: Conjure a damage absorbing shield. You expend Spirit to absorb damage while active.\nThis is a [a42acc]PASSIVE[-] and [315dce]SECONDARY[-] Action ability.",,,,,
perkSorcerySpellcastLightningRank5Desc,progression,Perk,New,"You are now a [5c009d]Master of Lightning Spellcasts[-].\n[a42acc]EMPOWER[-]: Stacks from Lightning Spells now empower you.\n[bf0000]SHOCK N AWE[-]: Both [5c009d]TELEPORT[-] and [5c009d]ENERGY SHIELD[-] now Shockburn.",,,,,
 
perkSorcerySpellLightningDesc,progression,Perk,New,"Master the [5c009d]LIGHTNING SPELL[-] to transform it from a primal zap into a Deadly Force of Nature that'll Shock and awe your foes with stunning force. This Spell is excellent at Charging [5c009d]Lightning Stacks[-] and should be used to maximize the damage and effects of all [5c009d]Lightning Spells[-].\n\n[5c009d]STACK CHARGE[-]: Hold [42c234]PRIMARY[-] Action Button\n\nRequires: [5c009d]Lightning Mastery[-] Level 1.",,,,,
perkSorcerySpellLightningName,progression,Perk,New,"SPELL: [5c009d]LIGHTNING[-]",,,,,
perkSorcerySpellLightningRank1Desc,progression,Perk,New,"Learn the primal [5c009d]LIGHTNING SPELL[-] to Electrocute your foes with stunning bolts of Lightning while leaving them Shockburned.",,,,,
perkSorcerySpellLightningRank2Desc,progression,Perk,New,"[5c009d]ELECTROCUTE[-]: Victims with [5c009d]Stacks[-] have a chance to be Electrocuted amplifying their Shockburn.",,,,,
perkSorcerySpellLightningRank3Desc,progression,Perk,New,"[5c009d]DEBILITATE[-]: Lightning occasionally consumes [5c009d]Stacks[-] to incapacitate and greatly weaken your foes.",,,,,
perkSorcerySpellLightningRank4Desc,progression,Perk,New,"[5c009d]ARC[-]: Lightning Arcs to additional nearby foes while Shockburning and applying [5c009d]Stacks[-] to all.",,,,,
perkSorcerySpellLightningRank5Desc,progression,Perk,New,"[5c009d]Fully Evolve[-] Lightning into a Deadly Force of Nature. [5c009d]Stacks[-] no longer expire on your victims but instead greatly increase destructive force.",,,,,

perkSorcerySpellLightningNovaDesc,progression,Perk,New,"Master the [5c009d]LIGHTNING NOVA SPELL[-] to transform it from a primal zap into a Deadly Force of Nature that'll Shock and awe your foes with stunning force. This Spell can Charge a single [5c009d]Lightning Stack[-] and becomes deadlier with each [5c009d]Lightning Stack[-] present on your victim.\n\n[5c009d]STACK CHARGE[-]: Hold [42c234]PRIMARY[-] Action Button\n\nRequires: [5c009d]Lightning Mastery[-] Level 2.",,,,,
perkSorcerySpellLightningNovaName,progression,Perk,New,"SPELL: [5c009d]LIGHTNING NOVA[-]",,,,,
perkSorcerySpellLightningNovaRank1Desc,progression,Perk,New,"Learn the destructive [5c009d]LIGHTNING NOVA SPELL[-] to get shockingly up close and personal with your foes... stunning them with the closeup of a lifetime!",,,,,
perkSorcerySpellLightningNovaRank2Desc,progression,Perk,New,"[5c009d]SHOCKWAVE[-]: Victims with [5c009d]Stacks[-] have a chance to be Electrocuted and Shockburned by the blast.",,,,,
perkSorcerySpellLightningNovaRank3Desc,progression,Perk,New,"[5c009d]PARALYZE[-]: Victims with [5c009d]Stacks[-] are prone to mortal Debilitation rendering them severely weakened.",,,,,
perkSorcerySpellLightningNovaRank4Desc,progression,Perk,New,"[5c009d]CONDUIT[-]: Victims with [5c009d]Stacks[-] are vulnerable to devastating Lightning Strikes on impact.",,,,,
perkSorcerySpellLightningNovaRank5Desc,progression,Perk,New,"[5c009d]Fully Evolve[-] Lightning Nova into a disabling Ring of Death. [5c009d]Stacks[-] greatly increase destructive force.",,,,,
 
perkSorcerySpellLightningStormDesc,progression,Perk,New,"Master Sorcery to learn the art of invoking the elements and becoming a devastating sorcerer. The rising dead were just the start of aftermath anomalies...\n\nRequires: [5c009d]Lightning Mastery[-] Level 3.",,,,,
perkSorcerySpellLightningStormName,progression,Perk,New,"SPELL: [5c009d]LIGHTNING STORM[-]",,,,,
perkSorcerySpellLightningStormRank1Desc,progression,Perk,New,"Learn the catastrophic [5c009d]LIGHTNING STORM SPELL[-] to command disastrous storms of nature capable of Electrocuting and Shockburning your foes amass. ",,,,,
perkSorcerySpellLightningStormRank2Desc,progression,Perk,New,"[5c009d]ELECTROCUTE[-]: Victims with [5c009d]Stacks[-] have a chance to be Electrocuted amplifying their Shockburn.",,,,,
perkSorcerySpellLightningStormRank3Desc,progression,Perk,New,"[5c009d]DEBILITATE[-]: Victims caught in the storm with [5c009d]Stacks[-] can be greatly weakened and incapacitated.",,,,,
perkSorcerySpellLightningStormRank4Desc,progression,Perk,New,"[5c009d]PERFECT STORM[-]: The odds of Electrocution and Debilitation become greater. Victims are prone to devastating Lightning Strikes while caught in the storm.",,,,,
perkSorcerySpellLightningStormRank5Desc,progression,Perk,New,"[5c009d]Fully Evolve[-] Lightning Storm into a Category 6 monstrosity.\n[5c009d]Stacks[-] greatly increase the storm's destructive force.",,,,,
 
 
 
reqSorceryLevel01,progression,Attribute,New,Sorcery Level 1,,,,,
reqSorceryLevel02,progression,Attribute,New,Sorcery Level 2,,,,,
reqSorceryLevel03,progression,Attribute,New,Sorcery Level 3,,,,,
reqSorceryLevel04,progression,Attribute,New,Sorcery Level 4,,,,,
reqSorceryLevel04-10,progression,Attribute,New,Level 10\nSorcery 4,,,,,
reqSorceryLevel05,progression,Attribute,New,Sorcery Level 5,,,,,
reqSorceryLevel05-20,progression,Attribute,New,Level 20\nSorcery 5,,,,,
reqSorceryLevel05-25,progression,Attribute,New,Level 25\nSorcery 5,,,,,
reqSorceryLevel06,progression,Attribute,New,Sorcery Level 6,,,,,
reqSorceryLevel06-35,progression,Attribute,New,Level 35\nSorcery 6,,,,,
reqSorceryLevel07,progression,Attribute,New,Sorcery Level 7,,,,,
reqSorceryLevel07-40,progression,Attribute,New,Level 40\nSorcery 7,,,,,
reqSorceryLevel07-50,progression,Attribute,New,Level 50\nSorcery 7,,,,,
reqSorceryLevel08,progression,Attribute,New,Sorcery Level 8,,,,,
reqSorceryLevel08-60,progression,Attribute,New,Level 60\nSorcery 8,,,,,
reqSorceryLevel08-70,progression,Attribute,New,Level 70\nSorcery 8,,,,,
reqSorceryLevel09,progression,Attribute,New,Sorcery Level 9,,,,,
reqSorceryLevel09-80,progression,Attribute,New,Level 80\nSorcery 9,,,,,
reqSorceryLevel09-85,progression,Attribute,New,Level 85\nSorcery 9,,,,,
reqSorceryLevel10,progression,Attribute,New,Sorcery Level 10,,,,,
reqSorceryLevel10-100,progression,Attribute,New,Level 100\nSorcery 10,,,,,
reqSorceryLevel10-120,progression,Attribute,New,Level 120\nSorcery 10,,,,,
 

reqSorcerySpellcastMasteryLevel01,progression,Perk,New,Spellcast Mastery Level 1,,,,,
reqSorcerySpellcastMasteryLevel02,progression,Perk,New,Spellcast Mastery Level 2,,,,,
reqSorcerySpellcastMasteryLevel03,progression,Perk,New,Spellcast Mastery Level 3,,,,,
reqSorcerySpellcastMasteryLevel04,progression,Perk,New,Spellcast Mastery Level 4,,,,,
reqSorcerySpellcastMasteryLevel05,progression,Perk,New,Spellcast Mastery Level 5,,,,, 
 
reqSorceryFireMasteryLevel01,progression,Perk,New,"[970000]Fire Mastery[-] Level 1",,,,,
reqSorceryFireMasteryLevel02,progression,Perk,New,"[970000]Fire Mastery[-] Level 2",,,,,
reqSorceryFireMasteryLevel03,progression,Perk,New,"[970000]Fire Mastery[-] Level 3",,,,,
reqSorceryFireMasteryLevel04,progression,Perk,New,"[970000]Fire Mastery[-] Level 4",,,,,
reqSorceryFireMasteryLevel05,progression,Perk,New,"[970000]Fire Mastery[-] Level 5",,,,,

reqSorceryIceMasteryLevel01,progression,Perk,New,"[02599c]Ice Mastery[-] Level 1",,,,,
reqSorceryIceMasteryLevel02,progression,Perk,New,"[02599c]Ice Mastery[-] Level 2",,,,,
reqSorceryIceMasteryLevel03,progression,Perk,New,"[02599c]Ice Mastery[-] Level 3",,,,,
reqSorceryIceMasteryLevel04,progression,Perk,New,"[02599c]Ice Mastery[-] Level 4",,,,,
reqSorceryIceMasteryLevel05,progression,Perk,New,"[02599c]Ice Mastery[-] Level 5",,,,,

reqSorceryLightningMasteryLevel01,progression,Perk,New,"[5c009d]Lightning Mastery[-] Level 1",,,,,
reqSorceryLightningMasteryLevel02,progression,Perk,New,"[5c009d]Lightning Mastery[-] Level 2",,,,,
reqSorceryLightningMasteryLevel03,progression,Perk,New,"[5c009d]Lightning Mastery[-] Level 3",,,,,
reqSorceryLightningMasteryLevel04,progression,Perk,New,"[5c009d]Lightning Mastery[-] Level 4",,,,,
reqSorceryLightningMasteryLevel05,progression,Perk,New,"[5c009d]Lightning Mastery[-] Level 5",,,,,
 
 
questMasterSorcery,items,"Sorcery Quest",New,"This is a Sorcery Quest Item. Read it to initiate a Sorcerer Quest.",,,,,
qs_SorceryIntro,items,"Sorcery Quest",KgNone,"Sorcery, The Awakening",,,,,
qs_SorceryIntroDesc,items,"Sorcery Quest",KgNone,"You sense something very different in the world. You feel... very different. Read this ominous letter to discover what the hell's going on.",,,,,

qcs_SorcererInitiationFireDesc,items,Fire Sorcery Quest,KgNone,"Sorcery Trial of Fire Quest.",,,,,
qcs_SorcererInitiationFire,items,Sorcery Quest,KgNone,"Sorcery, Trial of Fire",,,,,
qcs_SorcererInitiationFire2,items,Sorcery Quest,KgNone,"Sorcery, Trial of Fire 2 (Core)",,,,,
qcs_SorcererInitiationFire3,items,Sorcery Quest,KgNone,"Sorcery, Trial of Fire 3 (Evolved)",,,,,
qcs_SorcererInitiationFire4,items,Sorcery Quest,KgNone,"Sorcery, Trial of Fire 4 (Ascended)",,,,,
qcs_SorcererInitiationFire5,items,Sorcery Quest,KgNone,"Sorcery, Trial of Fire 5 (Primal)",,,,,

